Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,15.88,15.88,15.8,15.88,2600,15.88
2016-01-05,15.75,15.75,15.57,15.57,1200,15.57
2016-01-06,15.57,15.57,15.57,15.57,0,15.57
2016-01-07,16.299999,16.299999,16.07,16.24,2800,16.24
2016-01-08,16.34,16.43,16.34,16.42,1800,16.42
2016-01-11,16.809999,17.469999,16.809999,17.469999,2000,17.469999
2016-01-12,16.66,16.83,16.49,16.49,2500,16.49
2016-01-13,16.85,16.85,16.83,16.85,2800,16.85
2016-01-14,16.85,16.85,16.85,16.85,0,16.85
2016-01-15,18.0,18.0,17.93,17.93,800,17.93
2016-01-19,18.450001,18.450001,18.450001,18.450001,200,18.450001
2016-01-20,18.299999,19.0,18.299999,18.65,2800,18.65
2016-01-21,18.17,18.17,18.049999,18.129999,2800,18.129999
2016-01-22,17.610001,17.610001,17.34,17.34,2300,17.34
2016-01-25,17.34,17.34,17.34,17.34,0,17.34
2016-01-26,17.280001,17.290001,17.280001,17.290001,600,17.290001
2016-01-27,17.110001,17.57,17.110001,17.57,600,17.57
2016-01-28,17.280001,17.280001,17.25,17.25,200,17.25
2016-01-29,17.01,17.01,16.9,16.9,1100,16.9
2016-02-01,16.73,16.73,16.57,16.57,500,16.57
2016-02-02,16.959999,17.219999,16.950001,17.209999,2900,17.209999
2016-02-03,17.16,17.209999,17.16,17.17,2900,17.17
2016-02-04,17.209999,17.209999,17.209999,17.209999,100,17.209999
2016-02-05,17.33,17.809999,17.33,17.809999,400,17.809999
2016-02-08,17.809999,17.809999,17.809999,17.809999,0,17.809999
2016-02-09,17.809999,17.809999,17.809999,17.809999,0,17.809999
2016-02-10,17.809999,17.809999,17.809999,17.809999,0,17.809999
2016-02-11,18.82,19.15,18.82,19.15,500,19.15
2016-02-12,18.870001,18.870001,18.870001,18.870001,200,18.870001
2016-02-16,18.870001,18.870001,18.870001,18.870001,0,18.870001
2016-02-17,18.24,18.24,18.120001,18.120001,1000,18.120001
2016-02-18,18.049999,18.049999,18.049999,18.049999,100,18.049999
2016-02-19,18.1,18.1,18.1,18.1,100,18.1
2016-02-22,18.1,18.1,18.1,18.1,0,18.1
2016-02-23,18.1,18.1,18.1,18.1,0,18.1
2016-02-24,18.1,18.1,18.1,18.1,0,18.1
2016-02-25,18.1,18.1,18.1,18.1,0,18.1
2016-02-26,18.1,18.1,18.1,18.1,0,18.1
2016-02-29,18.1,18.1,18.1,18.1,0,18.1
2016-03-01,18.1,18.1,18.1,18.1,0,18.1
2016-03-02,18.1,18.1,18.1,18.1,0,18.1
2016-03-03,18.1,18.1,18.1,18.1,0,18.1
2016-03-04,18.1,18.1,18.1,18.1,0,18.1
2016-03-07,18.1,18.1,18.1,18.1,0,18.1
2016-03-08,18.1,18.1,18.1,18.1,0,18.1
2016-03-09,18.1,18.1,18.1,18.1,0,18.1
2016-03-10,18.1,18.1,18.1,18.1,0,18.1
2016-03-11,18.1,18.1,18.1,18.1,0,18.1
2016-03-14,18.1,18.1,18.1,18.1,0,18.1
2016-03-15,16.18,16.190001,16.18,16.190001,1000,16.190001
2016-03-16,16.190001,16.190001,16.190001,16.190001,0,16.190001
2016-03-17,16.190001,16.190001,16.190001,16.190001,0,16.190001
2016-03-18,16.190001,16.190001,16.190001,16.190001,0,16.190001
2016-03-21,16.190001,16.190001,16.190001,16.190001,0,16.190001
2016-03-22,16.190001,16.190001,16.190001,16.190001,0,16.190001
2016-03-23,16.190001,16.190001,16.190001,16.190001,0,16.190001
2016-03-24,15.96,15.96,15.96,15.96,1000,15.96
2016-03-28,15.96,15.96,15.96,15.96,0,15.96
2016-03-29,15.96,15.96,15.96,15.96,0,15.96
2016-03-30,15.19,15.19,15.19,15.19,200,15.19
2016-03-31,15.19,15.19,15.19,15.19,0,15.19
2016-04-01,15.19,15.19,15.19,15.19,0,15.19
2016-04-04,15.19,15.19,15.19,15.19,0,15.19
2016-04-05,15.19,15.19,15.19,15.19,0,15.19
2016-04-06,15.19,15.19,15.19,15.19,0,15.19
2016-04-07,15.19,15.19,15.19,15.19,0,15.19
2016-04-08,15.48,15.48,15.48,15.48,300,15.48
2016-04-11,15.48,15.48,15.48,15.48,0,15.48
2016-04-12,15.48,15.48,15.48,15.48,0,15.48
2016-04-13,15.48,15.48,15.48,15.48,0,15.48
2016-04-14,15.48,15.48,15.48,15.48,0,15.48
2016-04-15,15.48,15.48,15.48,15.48,0,15.48
2016-04-18,15.48,15.48,15.48,15.48,0,15.48
2016-04-19,15.48,15.48,15.48,15.48,0,15.48
2016-04-20,15.48,15.48,15.48,15.48,0,15.48
2016-04-21,15.48,15.48,15.48,15.48,0,15.48
2016-04-22,15.48,15.48,15.48,15.48,0,15.48
2016-04-25,15.48,15.48,15.48,15.48,0,15.48
2016-04-26,15.48,15.48,15.48,15.48,0,15.48
2016-04-27,15.48,15.48,15.48,15.48,0,15.48
2016-04-28,15.48,15.48,15.48,15.48,0,15.48
2016-04-29,15.48,15.48,15.48,15.48,0,15.48
2016-05-02,15.48,15.48,15.48,15.48,0,15.48
2016-05-03,15.53,15.53,15.53,15.53,100,15.53
2016-05-04,15.53,15.53,15.53,15.53,0,15.53
2016-05-05,15.53,15.53,15.53,15.53,0,15.53
2016-05-06,15.89,15.89,15.63,15.63,2300,15.63
2016-05-09,15.39,15.44,15.39,15.44,300,15.44
2016-05-10,15.44,15.44,15.44,15.44,0,15.44
2016-05-11,15.44,15.44,15.44,15.44,0,15.44
2016-05-12,15.52,15.52,15.44,15.44,200,15.44
2016-05-13,15.14,15.14,15.14,15.14,200,15.14
2016-05-16,15.07,15.07,15.07,15.07,800,15.07
2016-05-17,15.07,15.07,15.07,15.07,0,15.07
2016-05-18,15.71,15.71,15.47,15.47,1200,15.47
2016-05-19,15.47,15.47,15.47,15.47,0,15.47
2016-05-20,15.47,15.47,15.47,15.47,0,15.47
2016-05-23,15.47,15.47,15.47,15.47,0,15.47
2016-05-24,15.47,15.47,15.47,15.47,0,15.47
2016-05-25,15.47,15.47,15.47,15.47,0,15.47
2016-05-26,15.47,15.47,15.47,15.47,0,15.47
2016-05-27,15.47,15.47,15.47,15.47,0,15.47
2016-05-31,15.47,15.47,15.47,15.47,0,15.47
2016-06-01,14.65,14.65,14.65,14.65,900,14.65
2016-06-02,14.69,14.69,14.51,14.51,1100,14.51
2016-06-03,14.82,14.82,14.47,14.47,4400,14.47
2016-06-06,14.47,14.47,14.45,14.45,5300,14.45
2016-06-07,14.47,14.47,14.47,14.47,600,14.47
2016-06-08,14.65,14.65,14.65,14.65,1200,14.65
2016-06-09,14.86,14.88,14.76,14.84,7900,14.84
2016-06-10,15.17,15.35,15.12,15.35,6700,15.35
2016-06-13,15.62,16.120001,15.59,16.120001,9300,16.120001
2016-06-14,15.91,16.370001,15.88,16.25,14700,16.25
2016-06-15,15.95,15.95,15.65,15.84,8100,15.84
2016-06-16,16.25,16.25,15.58,15.58,6100,15.58
2016-06-17,15.57,15.58,15.57,15.58,4700,15.58
2016-06-20,14.96,15.09,14.96,15.08,3900,15.08
2016-06-21,15.07,15.18,15.07,15.14,2000,15.14
2016-06-22,14.99,15.15,14.94,14.94,8700,14.94
2016-06-23,14.62,14.66,14.48,14.52,11000,14.52
2016-06-24,15.22,15.75,14.82,15.74,23500,15.74
2016-06-27,16.16,16.360001,16.08,16.08,18000,16.08
2016-06-28,15.78,15.82,15.48,15.48,5400,15.48
2016-06-29,15.22,15.28,15.03,15.1,19400,15.1
2016-06-30,15.0,15.06,14.91,15.0,14300,15.0
2016-07-01,14.93,15.06,14.81,14.93,6700,14.93
2016-07-05,15.03,15.2,15.03,15.07,5300,15.07
2016-07-06,15.12,15.19,15.11,15.19,7600,15.19
2016-07-07,14.81,15.04,14.78,14.84,9400,14.84
2016-07-08,14.6,14.61,14.4,14.4,6000,14.4
2016-07-11,14.26,14.46,14.26,14.46,29100,14.46
2016-07-12,14.23,14.23,14.23,14.23,100,14.23
2016-07-13,14.24,14.27,14.15,14.15,8800,14.15
2016-07-14,13.99,14.1,13.99,14.1,10100,14.1
2016-07-15,14.08,14.24,14.07,14.07,13500,14.07
2016-07-18,14.07,14.07,14.07,14.07,800,14.07
2016-07-19,14.05,14.05,14.05,14.05,3700,14.05
2016-07-20,14.0,14.0,13.97,13.97,4100,13.97
2016-07-21,14.24,14.24,14.24,14.24,5400,14.24
2016-07-22,14.13,14.13,14.12,14.12,2100,14.12
2016-07-25,14.27,14.27,14.22,14.22,2000,14.22
2016-07-26,14.19,14.3,14.16,14.25,5800,14.25
2016-07-27,14.08,14.08,14.03,14.03,3100,14.03
2016-07-28,14.11,14.14,13.94,13.94,5000,13.94
2016-07-29,13.7,13.7,13.6,13.6,2100,13.6
2016-08-01,13.54,13.58,13.45,13.58,6300,13.58
2016-08-02,13.68,13.97,13.68,13.82,26200,13.82
2016-08-03,13.86,13.86,13.7,13.7,11900,13.7
2016-08-04,13.58,13.62,13.57,13.62,4600,13.62
2016-08-05,13.37,13.4,13.37,13.4,1100,13.4
2016-08-08,13.33,13.34,13.33,13.34,300,13.34
2016-08-09,13.25,13.25,13.09,13.17,2400,13.17
2016-08-10,13.05,13.31,13.05,13.26,19600,13.26
2016-08-11,13.23,13.23,13.23,13.23,7100,13.23
2016-08-12,13.23,13.23,13.23,13.23,0,13.23
2016-08-15,13.17,13.29,13.17,13.29,3300,13.29
2016-08-16,13.45,13.48,13.45,13.48,1300,13.48
2016-08-17,13.61,13.64,13.38,13.38,4000,13.38
2016-08-18,13.43,13.52,13.38,13.47,700,13.47
2016-08-19,13.46,13.46,13.46,13.46,5400,13.46
2016-08-22,13.49,13.55,13.49,13.52,1800,13.52
2016-08-23,13.54,13.54,13.54,13.54,400,13.54
2016-08-24,13.67,13.67,13.65,13.65,2700,13.65
2016-08-25,13.69,13.69,13.56,13.65,7200,13.65
2016-08-26,13.45,13.72,13.45,13.72,1400,13.72
2016-08-29,13.72,13.72,13.72,13.72,0,13.72
2016-08-30,13.5,13.5,13.48,13.49,800,13.49
2016-08-31,13.49,13.49,13.49,13.49,0,13.49
2016-09-01,13.56,13.56,13.56,13.56,300,13.56
2016-09-02,13.44,13.46,13.43,13.46,5500,13.46
2016-09-06,13.38,13.38,13.36,13.36,1200,13.36
2016-09-07,13.23,13.23,13.23,13.23,900,13.23
2016-09-08,13.23,13.23,13.23,13.23,0,13.23
2016-09-09,13.51,13.9,13.51,13.9,1100,13.9
2016-09-12,13.95,13.95,13.66,13.66,5300,13.66
2016-09-13,13.66,13.66,13.66,13.66,0,13.66
2016-09-14,14.07,14.23,14.0,14.17,25900,14.17
2016-09-15,14.03,14.03,13.96,13.96,4900,13.96
2016-09-16,14.18,14.19,13.9,13.9,5400,13.9
2016-09-19,13.76,13.76,13.74,13.74,3300,13.74
2016-09-20,13.73,13.73,13.73,13.73,4000,13.73
2016-09-21,13.7,13.8,13.39,13.39,12200,13.39
2016-09-22,13.23,13.28,13.19,13.19,5300,13.19
2016-09-23,13.16,13.18,13.1,13.18,9000,13.18
2016-09-26,13.48,13.48,13.48,13.48,1400,13.48
2016-09-27,13.11,13.11,13.11,13.11,100,13.11
2016-09-28,13.2,13.2,13.2,13.2,1400,13.2
2016-09-29,13.04,13.33,13.04,13.19,3400,13.19
2016-09-30,13.19,13.19,13.19,13.19,0,13.19
2016-10-03,13.19,13.19,13.19,13.19,0,13.19
2016-10-04,13.19,13.19,13.19,13.19,0,13.19
2016-10-05,12.84,12.91,12.84,12.91,3600,12.91
2016-10-06,12.82,12.83,12.82,12.83,200,12.83
2016-10-07,12.94,12.94,12.94,12.94,200,12.94
2016-10-10,12.94,12.94,12.94,12.94,0,12.94
2016-10-11,12.79,13.04,12.79,12.93,4700,12.93
2016-10-12,12.98,12.99,12.98,12.99,200,12.99
2016-10-13,13.25,13.27,13.25,13.27,3400,13.27
2016-10-14,13.04,13.04,13.04,13.04,2600,13.04
2016-10-17,13.04,13.04,13.04,13.04,0,13.04
2016-10-18,12.91,12.91,12.88,12.88,3200,12.88
2016-10-19,12.88,12.88,12.88,12.88,0,12.88
2016-10-20,12.9,12.9,12.8,12.8,7800,12.8
2016-10-21,12.8,12.8,12.8,12.8,0,12.8
2016-10-24,12.53,12.53,12.46,12.46,2300,12.46
2016-10-25,12.46,12.46,12.46,12.46,0,12.46
2016-10-26,12.56,12.56,12.49,12.49,1800,12.49
2016-10-27,12.56,12.56,12.56,12.56,1000,12.56
2016-10-28,12.56,12.56,12.56,12.56,0,12.56
2016-10-31,12.56,12.56,12.56,12.56,0,12.56
2016-11-01,12.86,13.02,12.86,13.02,1300,13.02
2016-11-02,13.02,13.02,13.02,13.02,0,13.02
2016-11-03,13.37,13.37,13.37,13.37,1100,13.37
2016-11-04,13.37,13.37,13.37,13.37,0,13.37
2016-11-07,12.81,12.81,12.49,12.49,8100,12.49
2016-11-08,12.38,12.45,12.36,12.45,6100,12.45
2016-11-09,12.43,12.43,12.31,12.31,1400,12.31
2016-11-10,12.31,12.31,12.31,12.31,0,12.31
2016-11-11,12.6,12.65,12.6,12.65,2900,12.65
2016-11-14,12.55,12.55,12.55,12.55,200,12.55
2016-11-15,12.33,12.33,12.31,12.31,5600,12.31
2016-11-16,12.45,12.48,12.38,12.38,4100,12.38
2016-11-17,12.38,12.38,12.37,12.37,1900,12.37
2016-11-18,12.29,12.34,12.26,12.32,5800,12.32
2016-11-21,12.21,12.21,12.06,12.06,4200,12.06
2016-11-22,12.1,12.12,12.1,12.12,2100,12.12
2016-11-23,12.15,12.15,12.15,12.15,1200,12.15
2016-11-25,12.15,12.15,12.15,12.15,0,12.15
2016-11-28,12.2,12.25,12.19,12.25,1900,12.25
2016-11-29,12.25,12.25,12.25,12.25,0,12.25
2016-11-30,12.14,12.14,12.14,12.14,1000,12.14
2016-12-01,12.37,12.46,12.35,12.46,1600,12.46
2016-12-02,12.31,12.34,12.31,12.34,1600,12.34
2016-12-05,12.34,12.34,12.34,12.34,0,12.34
2016-12-06,12.34,12.34,12.34,12.34,0,12.34
2016-12-07,11.94,11.96,11.91,11.96,3700,11.96
2016-12-08,12.03,12.08,12.03,12.08,1600,12.08
2016-12-09,12.01,12.01,11.99,11.99,300,11.99
2016-12-12,11.99,11.99,11.99,11.99,0,11.99
2016-12-13,12.12,12.12,12.12,12.12,1000,12.12
2016-12-14,12.01,12.07,11.97,12.07,3400,12.07
2016-12-15,11.96,12.0,11.93,12.0,2100,12.0
2016-12-16,12.0,12.04,11.96,12.04,500,12.04
2016-12-19,11.9,11.9,11.84,11.84,700,11.84
2016-12-20,11.8,11.81,11.77,11.81,2100,11.81
2016-12-21,11.72,11.72,11.72,11.72,1700,11.72
2016-12-22,11.78,11.78,11.78,11.78,200,11.78
2016-12-23,11.93,11.96,11.88,11.88,3500,11.88
2016-12-27,11.84,11.84,11.79,11.8,4200,11.8
2016-12-28,11.8,11.94,11.8,11.94,2200,11.94
2016-12-29,12.02,12.03,12.02,12.03,1800,12.03
2016-12-30,11.98,12.11,11.98,12.11,200,12.11
2017-01-03,11.78,11.78,11.71,11.71,3400,11.71
2017-01-04,11.53,11.53,11.5,11.5,3700,11.5
2017-01-05,11.44,11.54,11.42,11.47,8800,11.47
2017-01-06,11.33,11.33,11.27,11.29,7400,11.29
2017-01-09,11.23,11.23,11.23,11.23,1100,11.23
2017-01-10,11.21,11.32,11.19,11.26,6800,11.26
2017-01-11,11.23,11.29,11.17,11.17,2600,11.17
2017-01-12,11.2,11.39,11.2,11.23,63200,11.23
2017-01-13,11.26,11.31,11.25,11.31,1200,11.31
2017-01-17,11.46,11.46,11.43,11.43,400,11.43
2017-01-18,11.41,11.41,11.27,11.28,8400,11.28
2017-01-19,11.39,11.39,11.33,11.33,900,11.33
2017-01-20,11.22,11.22,11.03,11.03,8400,11.03
2017-01-23,11.06,11.11,11.06,11.06,5500,11.06
2017-01-24,10.88,10.88,10.66,10.66,18400,10.66
2017-01-25,10.53,10.53,10.51,10.51,5100,10.51
2017-01-26,10.57,10.57,10.56,10.56,1600,10.56
